# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Mon Apr 15 15:49:49 2019
#
# User preference: *
#
# CONSTRAINT:  where (koi_disposition like '%CONFIRMED%')
#
# COLUMN kepid:          KepID
# COLUMN kepoi_name:     KOI Name
# COLUMN kepler_name:    Kepler Name
# COLUMN koi_disposition: Exoplanet Archive Disposition
# COLUMN koi_period:     Orbital Period [days]
# COLUMN koi_time0bk:    Transit Epoch [BKJD]
# COLUMN koi_impact:     Impact Parameter
# COLUMN koi_duration:   Transit Duration [hrs]
# COLUMN koi_depth:      Transit Depth [ppm]
# COLUMN koi_prad:       Planetary Radius [Earth radii]
# COLUMN koi_sma:        Orbit Semi-Major Axis [AU]
# COLUMN koi_incl:       Inclination [deg]
# COLUMN koi_teq:        Equilibrium Temperature [K]
# COLUMN koi_insol:      Insolation Flux [Earth flux]
# COLUMN koi_tce_plnt_num: TCE Planet Number
# COLUMN koi_steff:      Stellar Effective Temperature [K]
# COLUMN koi_slogg:      Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN koi_smet:       Stellar Metallicity [dex]
# COLUMN koi_srad:       Stellar Radius [Solar radii]
# COLUMN koi_smass:      Stellar Mass [Solar mass]
# COLUMN koi_sage:       Stellar Age [Gyr]
# COLUMN ra:             RA [decimal degrees]
# COLUMN dec:            Dec [decimal degrees]
# COLUMN koi_kepmag:     Kepler-band [mag]
#
loc_rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_sma,koi_incl,koi_teq,koi_insol,koi_tce_plnt_num,koi_steff,koi_slogg,koi_smet,koi_srad,koi_smass,koi_sage,ra,dec,koi_kepmag
20,11804465,K00020.01,Kepler-12 b,CONFIRMED,4.437963030,171.0091193,0.0000,4.70104,1.6721e+04,18.22,0.0545,89.95,1338.0,757.65,1,5953.00,4.175,0.0800,1.4150,1.0930,,286.243440,50.040379,13.438
22,9631995,K00022.01,Kepler-422 b,CONFIRMED,7.891448474,177.2500095,0.2002,4.30403,1.0613e+04,12.24,0.0796,89.38,1000.0,235.93,1,5853.00,4.318,0.2000,1.1930,1.0800,,282.629670,46.323360,13.435
30,6521045,K00041.01,Kepler-100 c,CONFIRMED,12.815883780,122.9482400,0.5891,6.37280,2.1810e+02,2.28,0.1100,87.09,946.0,189.05,1,5825.00,4.125,0.0200,1.4900,1.0800,,291.385990,41.990269,11.197
31,6521045,K00041.02,Kepler-100 b,CONFIRMED,6.887060370,133.1779000,0.5134,4.42760,7.3900e+01,1.31,0.0727,87.09,1163.0,432.81,2,5825.00,4.125,0.0200,1.4900,1.0800,,291.385990,41.990269,11.197
32,6521045,K00041.03,Kepler-100 d,CONFIRMED,35.333086600,153.9833300,0.5942,5.90400,9.3800e+01,1.50,0.2163,88.81,674.0,48.89,3,5825.00,4.125,0.0200,1.4900,1.0800,,291.385990,41.990269,11.197
33,8866102,K00042.01,Kepler-410 A b,CONFIRMED,17.833682110,181.2336570,0.0048,4.54030,3.2790e+02,2.47,0.1436,89.95,859.0,128.66,1,6325.00,4.264,0.0100,1.3610,1.2420,,283.150700,45.139832,9.364
37,10905239,K00046.01,Kepler-101 b,CONFIRMED,3.487689428,170.9320450,0.0356,3.84268,1.3400e+03,4.36,0.0468,89.95,1291.0,656.81,1,5761.00,4.325,0.4800,1.2080,1.1250,,283.255490,48.355232,13.770
38,10905239,K00046.02,Kepler-101 c,CONFIRMED,6.029795180,132.4818100,0.4143,3.91000,5.5500e+01,0.91,0.0675,87.66,1075.0,315.74,2,5761.00,4.325,0.4800,1.2080,1.1250,,283.255490,48.355232,13.770
40,9527334,K00049.01,Kepler-461 b,CONFIRMED,8.313783059,175.9915760,0.0500,2.99270,8.1030e+02,2.69,0.0821,89.95,886.0,145.51,1,5900.00,4.509,0.0700,0.9510,1.0650,,292.249020,46.164822,13.704
45,11554435,K00063.01,Kepler-63 b,CONFIRMED,9.434151089,177.8431890,0.3603,2.77950,4.0243e+03,5.57,0.0873,89.38,789.0,91.83,1,5650.00,4.551,0.0700,0.8760,0.9930,,289.226170,49.548199,11.582
47,3544595,K00069.01,Kepler-93 b,CONFIRMED,4.726739475,134.9265140,0.6820,2.92690,2.6640e+02,1.59,0.0533,85.94,1039.0,275.99,1,5669.00,4.466,-0.1800,0.9210,0.9090,,291.418300,38.672359,9.931
48,6850504,K00070.01,Kepler-20 c,CONFIRMED,10.854097835,138.6079440,0.4384,3.77470,1.0510e+03,3.03,0.0919,88.81,765.0,80.88,1,5465.00,4.449,0.0200,0.9250,0.8760,,287.698000,42.338718,12.498
49,6850504,K00070.02,Kepler-20 b,CONFIRMED,3.696119675,134.5015770,0.8424,2.54740,3.9670e+02,2.11,0.0448,82.51,1095.0,340.33,2,5465.00,4.449,0.0200,0.9250,0.8760,,287.698000,42.338718,12.498
50,6850504,K00070.03,Kepler-20 d,CONFIRMED,77.611598700,164.7267900,0.1206,7.25660,8.2750e+02,2.62,0.3411,89.95,397.0,5.87,3,5465.00,4.449,0.0200,0.9250,0.8760,,287.698000,42.338718,12.498
51,6850504,K00070.04,Kepler-20 e,CONFIRMED,6.098536720,135.9301200,0.5636,2.88100,7.4800e+01,0.82,0.0626,87.66,927.0,174.30,4,5465.00,4.449,0.0200,0.9250,0.8760,,287.698000,42.338718,12.498
52,6850504,K00070.05,Kepler-20 f,CONFIRMED,19.577628600,135.2065000,0.3268,3.74400,1.1560e+02,0.99,0.1362,89.38,628.0,36.82,5,5465.00,4.449,0.0200,0.9250,0.8760,,287.698000,42.338718,12.498
53,11904151,K00072.01,Kepler-10 b,CONFIRMED,0.837491331,131.5747560,0.0489,1.80760,1.9190e+02,1.45,0.0168,89.38,1968.0,3545.07,2,5627.00,4.342,-0.1500,1.0560,0.8950,,285.679380,50.241299,10.961
54,11904151,K00072.02,Kepler-10 c,CONFIRMED,45.294317170,138.6774800,0.0190,6.87140,4.7680e+02,2.28,0.2397,89.95,521.0,17.41,1,5627.00,4.342,-0.1500,1.0560,0.8950,,285.679380,50.241299,10.961
60,10187017,K00082.01,Kepler-102 e,CONFIRMED,16.145690772,134.7535680,0.6842,3.72460,9.8920e+02,2.52,0.1129,88.24,549.0,21.46,1,4812.00,4.548,0.0200,0.7550,0.7340,,281.482730,47.208031,11.492
61,10187017,K00082.02,Kepler-102 d,CONFIRMED,10.311737520,134.0805340,0.7672,3.20500,2.8230e+02,1.40,0.0837,87.09,638.0,39.04,2,4812.00,4.548,0.0200,0.7550,0.7340,,281.482730,47.208031,11.492
62,10187017,K00082.03,Kepler-102 f,CONFIRMED,27.453729400,145.0234700,0.1053,3.53530,1.1630e+02,0.79,0.1608,89.95,460.0,10.58,3,4812.00,4.548,0.0200,0.7550,0.7340,,281.482730,47.208031,11.492
63,10187017,K00082.04,Kepler-102 c,CONFIRMED,7.071360760,139.9874600,0.0839,2.75060,6.2900e+01,0.58,0.0651,89.95,723.0,64.54,4,4812.00,4.548,0.0200,0.7550,0.7340,,281.482730,47.208031,11.492
64,10187017,K00082.05,Kepler-102 b,CONFIRMED,5.286954370,135.8519400,0.4052,2.59100,4.3000e+01,0.49,0.0536,88.24,797.0,95.21,5,4812.00,4.548,0.0200,0.7550,0.7340,,281.482730,47.208031,11.492
65,2571238,K00084.01,Kepler-19 b,CONFIRMED,9.286968825,135.9941600,0.0554,3.37100,7.0060e+02,2.13,0.0833,89.95,764.0,80.48,1,5543.00,4.568,-0.1400,0.8130,0.8910,,290.420810,37.851799,11.898
66,5866724,K00085.01,Kepler-65 c,CONFIRMED,5.859938722,132.0401850,0.0265,4.00040,3.2040e+02,2.55,0.0690,89.95,1236.0,552.06,1,6169.00,4.236,0.0900,1.4240,1.2730,,288.688690,41.151180,11.018
67,5866724,K00085.02,Kepler-65 b,CONFIRMED,2.154909039,133.4989240,0.6452,3.17740,1.0040e+02,1.50,0.0354,80.79,1726.0,2097.40,2,6169.00,4.236,0.0900,1.4240,1.2730,,288.688690,41.151180,11.018
68,5866724,K00085.03,Kepler-65 d,CONFIRMED,8.131224840,137.9920000,0.8742,4.34570,1.1390e+02,1.76,0.0858,83.08,1109.0,357.04,3,6169.00,4.236,0.0900,1.4240,1.2730,,288.688690,41.151180,11.018
69,10593626,K00087.01,Kepler-22 b,CONFIRMED,289.864456000,133.6950600,0.0175,6.97700,5.0190e+02,2.17,0.8489,89.95,267.0,1.21,1,5642.00,4.443,-0.2700,0.9790,0.9700,,289.217500,47.884460,11.664
71,8056665,K00089.01,Kepler-462 b,CONFIRMED,84.687980800,150.5689700,0.0637,10.02150,3.5050e+02,5.01,0.4731,89.95,804.0,98.91,1,7717.00,3.888,0.0700,2.6410,1.9650,,299.821170,43.814270,11.642
75,6462863,K00094.01,Kepler-89 d,CONFIRMED,22.342969585,132.7417740,0.0056,6.68603,5.6752e+03,9.77,0.1596,89.95,767.0,81.73,1,6098.00,4.247,-0.0200,1.2970,1.0810,,297.333070,41.891121,12.205
76,6462863,K00094.02,Kepler-89 c,CONFIRMED,10.423677765,138.0091820,0.1270,5.22910,7.9510e+02,3.66,0.0960,89.38,989.0,225.89,3,6098.00,4.247,-0.0200,1.2970,1.0810,,297.333070,41.891121,12.205
77,6462863,K00094.03,Kepler-89 e,CONFIRMED,54.319986050,161.2397580,0.0352,8.46520,1.9962e+03,5.79,0.2885,89.95,570.0,25.01,2,6098.00,4.247,-0.0200,1.2970,1.0810,,297.333070,41.891121,12.205
78,6462863,K00094.04,Kepler-89 b,CONFIRMED,3.743175556,131.6192500,0.6516,3.73010,1.2860e+02,1.55,0.0485,83.65,1391.0,885.02,4,6098.00,4.247,-0.0200,1.2970,1.0810,,297.333070,41.891121,12.205
79,5780885,K00097.01,Kepler-7 b,CONFIRMED,4.885488953,134.2768383,0.2032,5.13130,7.5693e+03,17.29,0.0617,88.24,1499.0,1194.10,1,6027.00,3.971,0.1000,1.9620,1.3180,,288.581510,41.089809,12.885
80,10264660,K00098.01,Kepler-14 b,CONFIRMED,6.790121599,138.0882570,0.0205,6.13910,2.2523e+03,12.21,0.0787,89.95,1445.0,1029.51,1,6378.00,3.952,-0.0200,2.0750,1.3910,,287.708830,47.333050,12.128
85,10318874,K00104.01,Kepler-94 b,CONFIRMED,2.508057352,135.0007460,0.5802,1.07240,1.5482e+03,2.49,0.0311,87.66,828.0,111.07,1,4238.00,4.673,-0.1200,0.6100,0.6400,,281.194730,47.497131,12.895
86,8711794,K00105.01,Kepler-463 b,CONFIRMED,8.981016833,136.6492630,0.5100,1.87370,1.0894e+03,4.95,0.0797,89.38,1060.0,298.93,1,5613.00,4.031,-0.4000,1.4620,0.8370,,298.937040,44.857910,12.870
88,11250587,K00107.01,Kepler-464 b,CONFIRMED,7.256965224,134.0232930,0.0022,4.86390,4.6170e+02,3.38,0.0778,89.95,1167.0,439.18,1,5862.00,4.113,0.2700,1.5860,1.2010,,294.835170,48.982361,12.702
89,4914423,K00108.01,Kepler-103 b,CONFIRMED,15.965336870,142.1775480,0.0368,4.52700,4.8610e+02,3.14,0.1280,89.95,864.0,131.47,1,5845.00,4.163,0.0700,1.4360,1.0940,,288.984560,40.064529,12.287
90,4914423,K00108.02,Kepler-103 c,CONFIRMED,179.607660200,295.3408300,0.6661,13.49100,1.2788e+03,5.42,0.6425,89.38,385.0,5.22,2,5845.00,4.163,0.0700,1.4360,1.0940,,288.984560,40.064529,12.287
92,9450647,K00110.01,Kepler-465 b,CONFIRMED,9.940672466,135.2150730,0.0487,3.90060,5.2380e+02,2.80,0.0945,89.95,1032.0,267.68,1,6522.00,4.325,-0.2200,1.2150,1.1400,,284.555730,46.063831,12.663
93,6678383,K00111.01,Kepler-104 b,CONFIRMED,11.427545631,137.6136790,0.1238,4.55980,5.0860e+02,3.08,0.0928,89.38,972.0,211.16,1,5755.00,4.081,-0.5200,1.3610,0.8140,,287.604610,42.166779,12.596
94,6678383,K00111.02,Kepler-104 c,CONFIRMED,23.668364270,132.7136600,0.6309,5.78180,4.5830e+02,3.06,0.1507,88.81,763.0,80.07,3,5755.00,4.081,-0.5200,1.3610,0.8140,,287.604610,42.166779,12.596
95,6678383,K00111.03,Kepler-104 d,CONFIRMED,51.755295760,271.0878700,0.4582,7.35010,6.0110e+02,3.41,0.2539,89.38,588.0,28.21,2,5755.00,4.081,-0.5200,1.3610,0.8140,,287.604610,42.166779,12.596
96,10984090,K00112.01,Kepler-466 b,CONFIRMED,51.079263070,185.1806490,0.0307,6.37290,7.3700e+02,2.89,0.2643,89.95,516.0,16.73,1,5803.00,4.351,-0.0800,1.0730,0.9430,,295.648710,48.495560,12.772
97,10984090,K00112.02,Kepler-466 c,CONFIRMED,3.709213846,133.9837300,0.2050,2.55750,1.3330e+02,1.24,0.0460,88.81,1236.0,552.21,2,5803.00,4.351,-0.0800,1.0730,0.9430,,295.648710,48.495560,12.772
99,9579641,K00115.01,Kepler-105 b,CONFIRMED,5.412207130,133.1427530,0.0975,2.81050,5.9810e+02,3.28,0.0621,89.38,1306.0,686.92,1,6391.00,4.226,-0.2200,1.3320,1.0850,,287.887330,46.276241,12.791
100,9579641,K00115.02,Kepler-105 c,CONFIRMED,7.125945910,139.0049600,0.1989,2.80700,1.9440e+02,1.88,0.0746,89.38,1191.0,476.01,2,6391.00,4.226,-0.2200,1.3320,1.0850,,287.887330,46.276241,12.791
101,8395660,K00116.01,Kepler-106 c,CONFIRMED,13.570766220,136.2796700,0.1145,3.19890,5.2310e+02,2.35,0.1093,89.95,796.0,94.89,1,5881.00,4.388,-0.1600,1.0290,0.9440,,300.863980,44.337551,12.882
102,8395660,K00116.02,Kepler-106 e,CONFIRMED,43.844443530,151.9342500,0.4969,6.41750,6.0030e+02,2.58,0.2388,89.38,538.0,19.88,2,5881.00,4.388,-0.1600,1.0290,0.9440,,300.863980,44.337551,12.882
103,8395660,K00116.03,Kepler-106 b,CONFIRMED,6.164916960,135.6374300,0.5416,3.22700,6.3700e+01,0.85,0.0646,87.66,1035.0,271.63,4,5881.00,4.388,-0.1600,1.0290,0.9440,,300.863980,44.337551,12.882
104,8395660,K00116.04,Kepler-106 d,CONFIRMED,23.980234800,147.5328200,0.2506,4.61100,9.2700e+01,0.99,0.1597,89.38,658.0,44.45,3,5881.00,4.388,-0.1600,1.0290,0.9440,,300.863980,44.337551,12.882
105,10875245,K00117.01,Kepler-107 e,CONFIRMED,14.749135180,138.7787800,0.6808,6.18870,4.2050e+02,3.07,0.1227,87.09,875.0,138.71,1,5851.00,4.192,0.2700,1.4110,1.1420,,297.028260,48.208611,12.487
106,10875245,K00117.02,Kepler-107 c,CONFIRMED,4.901438070,138.6078300,0.7916,4.24620,1.3960e+02,1.84,0.0589,81.93,1263.0,601.94,3,5851.00,4.192,0.2700,1.4110,1.1420,,297.028260,48.208611,12.487
107,10875245,K00117.03,Kepler-107 b,CONFIRMED,3.180024635,133.4990100,0.2651,3.56690,1.2190e+02,1.55,0.0441,87.66,1460.0,1073.75,2,5851.00,4.192,0.2700,1.4110,1.1420,,297.028260,48.208611,12.487
108,10875245,K00117.04,Kepler-107 d,CONFIRMED,7.958302160,137.7977700,0.1553,4.38400,5.8300e+01,1.07,0.0813,89.38,1075.0,315.94,4,5851.00,4.192,0.2700,1.4110,1.1420,,297.028260,48.208611,12.487
109,3531558,K00118.01,Kepler-467 b,CONFIRMED,24.993241930,138.6823800,0.4885,5.90830,2.7240e+02,2.28,0.1686,88.81,719.0,63.24,1,5747.00,4.182,0.0300,1.3570,1.0230,,287.362790,38.649601,12.377
110,9471974,K00119.01,Kepler-108 b,CONFIRMED,49.183949220,141.9118780,0.4118,11.37710,1.6457e+03,8.97,0.2935,89.38,706.0,58.63,1,5854.00,3.900,0.3100,2.1920,1.3770,,294.559170,46.062328,12.654
111,9471974,K00119.02,Kepler-108 c,CONFIRMED,190.321656400,312.6756000,0.8046,15.23400,1.1175e+03,8.15,0.7235,89.38,449.0,9.65,2,5854.00,3.900,0.3100,2.1920,1.3770,,294.559170,46.062328,12.654
114,8349582,K00122.01,Kepler-95 b,CONFIRMED,11.523069953,131.9690560,0.0576,3.88530,5.0480e+02,3.13,0.1026,89.95,934.0,179.56,1,5699.00,4.171,0.3000,1.4150,1.0840,,284.482450,44.398041,12.346
115,5094751,K00123.01,Kepler-109 b,CONFIRMED,6.481628092,122.9781970,0.1459,3.64900,3.0150e+02,2.29,0.0690,89.38,1150.0,412.93,1,5952.00,4.212,-0.0800,1.3230,1.0390,,290.392730,40.284870,12.365
116,5094751,K00123.02,Kepler-109 c,CONFIRMED,21.222585250,137.5749200,0.0266,6.49130,3.5990e+02,2.50,0.1521,89.95,774.0,84.98,2,5952.00,4.212,-0.0800,1.3230,1.0390,,290.392730,40.284870,12.365
117,11086270,K00124.01,Kepler-110 b,CONFIRMED,12.691052090,137.1256200,0.0211,3.79400,2.5970e+02,2.96,0.1091,89.95,1067.0,306.75,1,5887.00,3.938,-0.1800,1.8430,1.0750,,292.929140,48.602810,12.935
118,11086270,K00124.02,Kepler-110 c,CONFIRMED,31.719824980,142.8206600,0.0971,4.81940,3.7060e+02,3.54,0.2010,89.95,786.0,90.37,2,5887.00,3.938,-0.1800,1.8430,1.0750,,292.929140,48.602810,12.935
119,11449844,K00125.01,Kepler-468 b,CONFIRMED,38.478757067,151.8530060,0.0154,5.05845,2.4180e+04,13.44,0.2213,89.95,484.0,13.01,1,5510.00,4.539,0.1600,0.8790,0.9730,,288.902220,49.370491,13.779
122,8359498,K00127.01,Kepler-77 b,CONFIRMED,3.578780551,134.0304134,0.0043,2.90682,1.1742e+04,10.43,0.0472,89.95,1144.0,405.36,1,5705.00,4.497,0.3600,0.9760,1.0900,,289.607970,44.345421,13.938
123,11359879,K00128.01,Kepler-15 b,CONFIRMED,4.942783399,136.3294502,0.5586,3.25457,1.1498e+04,10.77,0.0569,87.09,1008.0,244.42,1,5514.00,4.459,0.3600,0.9780,1.0030,,296.200590,49.140121,13.758
124,11974540,K00129.01,Kepler-470 b,CONFIRMED,24.669195690,132.8641270,0.1464,6.91850,7.4414e+03,12.30,0.1804,89.95,832.0,113.20,1,6748.00,4.249,-0.1400,1.4090,1.2910,,297.009430,50.372318,13.224
126,7778437,K00131.01,Kepler-471 b,CONFIRMED,5.014234575,133.1742579,0.0124,4.61153,6.7886e+03,10.53,0.0629,89.95,1284.0,642.33,1,6475.00,4.349,0.2100,1.2710,1.3140,,299.097530,43.497589,13.797
129,9818381,K00135.01,Kepler-43 b,CONFIRMED,3.024092548,132.4169214,0.3206,2.73608,8.0048e+03,12.10,0.0436,87.66,1475.0,1120.06,1,6022.00,4.263,0.3200,1.3450,1.2100,,285.240840,46.668251,13.958
131,8644288,K00137.01,Kepler-18 c,CONFIRMED,7.641571533,135.4073340,0.0083,3.41326,2.3314e+03,4.98,0.0729,89.95,899.0,154.25,2,5356.00,4.338,0.2000,1.0550,0.8820,,298.079440,44.746319,13.549
132,8644288,K00137.02,Kepler-18 d,CONFIRMED,14.858912687,128.1547300,0.0247,3.49204,3.3439e+03,5.96,0.1136,89.95,720.0,63.52,1,5356.00,4.338,0.2000,1.0550,0.8820,,298.079440,44.746319,13.549
133,8644288,K00137.03,Kepler-18 b,CONFIRMED,3.504687554,133.5128910,0.7912,1.96000,3.2330e+02,2.11,0.0434,84.80,1165.0,435.21,3,5356.00,4.338,0.2000,1.0550,0.8820,,298.079440,44.746319,13.549
135,8559644,K00139.01,Kepler-111 c,CONFIRMED,224.778209300,142.0973650,0.7867,11.63460,3.5425e+03,7.52,0.7469,89.38,323.0,2.56,1,5906.00,4.361,0.2200,1.1450,1.0980,,291.653170,44.688271,13.492
136,8559644,K00139.02,Kepler-111 b,CONFIRMED,3.341802938,141.3551500,0.9137,3.02410,1.5980e+02,1.75,0.0452,76.20,1311.0,698.74,2,5906.00,4.361,0.2200,1.1450,1.0980,,291.653170,44.688271,13.492
140,4180280,K00144.01,Kepler-472 b,CONFIRMED,4.176255514,133.0903410,0.7394,3.70120,1.4284e+03,3.22,0.0479,83.08,878.0,140.17,1,4911.00,4.570,0.2600,0.7860,0.8360,,296.524290,39.249760,13.698
144,5735762,K00148.01,Kepler-48 b,CONFIRMED,4.778004028,124.0613690,0.4512,2.74950,4.8800e+02,1.89,0.0547,87.66,922.0,170.81,2,5296.00,4.558,0.3000,0.8520,0.9550,,299.139220,40.949020,13.040
145,5735762,K00148.02,Kepler-48 c,CONFIRMED,9.673953474,125.3396630,0.0267,3.28700,9.8600e+02,2.61,0.0876,89.95,729.0,66.60,1,5296.00,4.558,0.3000,0.8520,0.9550,,299.139220,40.949020,13.040
146,5735762,K00148.03,Kepler-48 d,CONFIRMED,42.896055050,146.0674900,0.0280,5.62500,5.9120e+02,2.02,0.2365,89.95,443.0,9.14,3,5296.00,4.558,0.3000,0.8520,0.9550,,299.139220,40.949020,13.040
147,3835670,K00149.01,Kepler-473 b,CONFIRMED,14.557317050,145.0946620,0.0038,7.77240,9.8260e+02,5.04,0.1176,89.95,932.0,178.02,1,5683.00,4.026,0.0000,1.6240,1.0220,,286.630100,38.945599,13.397
148,7626506,K00150.01,Kepler-112 b,CONFIRMED,8.408876951,134.0064860,0.1335,3.49280,8.0480e+02,2.72,0.0741,89.38,914.0,164.66,1,5763.00,4.361,-0.5600,0.9570,0.7660,,296.981020,43.209751,13.771
149,7626506,K00150.02,Kepler-112 c,CONFIRMED,28.574264900,143.8317100,0.2589,4.97290,8.4750e+02,2.80,0.1675,89.38,608.0,32.23,2,5763.00,4.361,-0.5600,0.9570,0.7660,,296.981020,43.209751,13.771
151,8394721,K00152.01,Kepler-79 d,CONFIRMED,52.090816020,158.7446800,0.0210,8.63290,2.9742e+03,5.70,0.2807,89.95,542.0,20.34,1,6388.00,4.442,-0.2800,1.0370,1.0840,,300.517120,44.381580,13.914
152,8394721,K00152.02,Kepler-79 c,CONFIRMED,27.402320890,133.6276400,0.1043,6.82910,8.0140e+02,2.96,0.1829,89.95,671.0,47.91,3,6388.00,4.442,-0.2800,1.0370,1.0840,,300.517120,44.381580,13.914
153,8394721,K00152.03,Kepler-79 b,CONFIRMED,13.484586650,136.6175200,0.0862,5.05750,6.8380e+02,2.73,0.1140,89.95,850.0,123.31,2,6388.00,4.442,-0.2800,1.0370,1.0840,,300.517120,44.381580,13.914
154,8394721,K00152.04,Kepler-79 e,CONFIRMED,81.063494200,139.5396800,0.2320,3.18100,4.5010e+02,2.23,0.3769,89.95,467.0,11.28,4,6388.00,4.442,-0.2800,1.0370,1.0840,,300.517120,44.381580,13.914
155,12252424,K00153.01,Kepler-113 c,CONFIRMED,8.925076369,139.7140530,0.8053,2.71230,9.9940e+02,2.54,0.0747,87.09,624.0,35.82,2,4591.00,4.579,0.0000,0.7090,0.6960,,287.997890,50.944328,13.461
156,12252424,K00153.02,Kepler-113 b,CONFIRMED,4.754001150,128.5468680,0.2184,2.50370,7.7410e+02,1.90,0.0491,89.38,770.0,82.90,1,4591.00,4.579,0.0000,0.7090,0.6960,,287.997890,50.944328,13.461
157,8030148,K00155.01,Kepler-474 b,CONFIRMED,5.660672935,137.4155010,0.5708,4.67220,7.4900e+02,3.80,0.0603,85.94,1190.0,474.61,1,5716.00,4.141,-0.1600,1.3440,0.9110,,292.321500,43.881168,13.494
158,10925104,K00156.01,Kepler-114 c,CONFIRMED,8.041331208,143.0389450,0.0898,2.63190,5.9040e+02,1.28,0.0648,89.95,507.0,15.64,2,3983.00,4.721,-0.2000,0.5400,0.5600,,294.121430,48.349522,13.738
